No.,位号,Comment,Value,Footprint,立创编码,匹配物料名,来源,匹配状态,数量,所在面
34,R9,22,22,R0603,C1203,0603 贴片电阻 22Ω ±5%,仓库料,已匹配,1,正面
35,"R10,R20,R21",5.1K,5.1K,R0603,C23186,0603 贴片电阻 5.1kΩ ±1%,仓库料,已匹配,3,双面
36,"R12,R13,R14,R16,R22,R23,R24,R25,R26,R27,R28,R43",0,0,R0603,C15402,0603 贴片电阻 0Ω ±5%,仓库料,已匹配,12,正面
37,"R15,R31,R32,R34,R35,R37,R38,R39,R46,R47,R48,R49,R50,R51,R52,R53,R54",10K,10K,R0603,C25804,0603 贴片电阻 10kΩ ±1%,仓库料,已匹配,17,正面
38,"R17,R18,R19",330,330,R0603,C105879,0603 贴片电阻 330Ω ±5%,仓库料,已匹配,3,正面
40,R33,330Ω,330Ω,R0603,C23138,0603 贴片电阻 330Ω ±1%,仓库料,已匹配,1,正面
41,"R41,R44",10mohm,10mohm,R1206,C46961737,1206 贴片电阻 10mΩ ±1%,仓库料,已匹配,2,正面
42,R42,82K,82K,R0603,C23254,0603 贴片电阻 82kΩ ±1%,仓库料,已匹配,1,正面
43,"SW1,SW2,SW7",Key_SMD_3x4x2,None,Key_SMD_3x4x2,C36498961,HX 3x4x2-2P-2.5N,仓库料,已匹配,3,正面
45,U1,RP2350B,None,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,C42415655,RP2350B,仓库料,已匹配,1,正面
46,U2,W25Q128JVSIQ,None,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C113767,W25Q128JVSIQ,仓库料,已匹配,1,正面
47,U3,APS6404L-3SQR-SN,None,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C5333729,APS6404L-3SQR-SN,仓库料,已匹配,1,正面
48,U4,DRV8316CRRGFR,None,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,C5447274,DRV8316CRRGFR,仓库料,已匹配,1,正面
49,U5,AS5600-ASOT,None,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C499458,AS5600-ASOT,仓库料,已匹配,1,背面
50,U6,NRF52840-QIAA-R7,None,AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8,C1851953,NRF52840-QIAA-R7,仓库料,已匹配,1,正面
53,"U9,U10","74HC165PW,118",None,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,C80696,"74HC165PW,118",仓库料,已匹配,2,背面
54,USB1,USB_TYPE-C-16P,None,USB_TYPE-C-16P,C2765186,Type-C 16P卧贴母座，4脚插板，3MD 壳长7.35mm 不锈钢外壳,仓库料,已匹配,1,正面
55,X1,12MHz,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9002,无源晶振 12MHz ±10ppm 20pF SMD3225-4P,仓库料,已匹配,1,正面
56,X2,32.768kHz 7pf,32.768kHz 7pf,FC-135R_L3.2-W1.5,C94674,无源晶振 32.768kHz ±20ppm 7pF SMD3215-2P,仓库料,已换料(12.5pF→7pF) 待工厂同步,1,正面
57,X3,32MHz,32MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9009,无源晶振 32MHz 12pF ±10ppm SMD3225-4P,仓库料,已匹配,1,正面
52,U8,IP5330,None,QFN-32_L5.0-W5.0-P0.50-TL-EP3.4,C669698,IP5330,客供料,已匹配,1,正面
